Sample,Postcode,Address,Latitude,Longitude,moll_lat,moll_lon,Rurality
1353,,,36,-84.3,4337579.950562795,-7407764.008942296,21
1354,,,38.3,-82.1,4598509.437439485,-7078690.101775027,11
1355,,,36.1,-78.9,4348986.041640936,-6927751.687088576,12
1356,,,40.7,-74,4867490.986514479,-6243953.318520533,30
1357,,,42.4,-71.3,5055855.158535961,-5917830.6296378225,13
1358,,,35.7,-81.1,4303329.101929989,-7143408.605348312,12
1359,,,30.4,-87.2,3690640.1686725584,-7974399.273537609,30
1360,,,27.7,-82.7,3373476.2702575917,-7686928.245759649,30
1361,,,34.3,-77.8,4142857.652928049,-6926244.451887062,21
1362,,,40,-76.2,4789399.149897031,-6471487.069285728,12
1363,,,36.2,-76.5,4360386.675514761,-6711679.402918198,11
1364,,,35.2,-90,4246136.773848659,-7958114.455026901,21
1365,,,44.5,-123.3,5285914.011212909,-10013226.461991282,11
1366,,,38.4,-78.9,4609785.726655623,-6796917.075018242,12
1367,,,27.9,-82.8,3397076.175150944,-7687431.954403598,30
1368,,,39.4,-81.4,4722224.088198904,-6950810.777106593,12
1369,,,35.1,-80.7,4234682.321429716,-7141246.581193853,11
1370,,,37.7,-77.8,4530729.844432588,-6742320.340177107,11
1371,,,35.9,-81.5,4326168.419072049,-7167375.258553765,12
1372,,,38.3,-75.6,4598509.437439485,-6518257.876908551,11
1373,,,39.9,-83.8,4778218.522360791,-7123449.775398874,23
1374,,,40.1,-105,4800573.6500055995,-8909221.244817838,11
1375,,,28.5,-82.5,3467776.249564448,-7632910.6136609465,21
1376,,,35.7,-79.7,4303329.101929989,-7020094.523381759,11
1377,,,44,-92.5,5231409.460379818,-7552147.074812494,21
1378,,,37.9,-122.3,4553346.138548651,-10580876.629869564,30
1379,,,36.1,-78.9,4348986.041640936,-6927751.687088576,12
1380,,,36,-79.6,4337579.950562795,-6994757.000140055,12
1381,,,37.3,-80.6,4485428.651890568,-7008384.15760588,11
1382,,,42.2,-76.5,5033791.304144005,-6362078.708093798,11
1383,,,35.3,-80.4,4257585.919552411,-7103782.247134938,11
1384,,,35.9,-78.7,4326168.419072049,-6921134.145376457,21
1385,,,42,-93.6,5011701.366996126,-7799591.795529908,12
1386,,,43,-79,5121888.767978503,-6517316.381079351,11
1387,,,40.8,-123.1,4878622.100046948,-10377126.335446088,11
1388,,,35.8,-78.8,4314751.463942467,-6935382.884391915,30
1389,,,34.6,-82.8,4177331.040219622,-7354890.4186832905,12
1390,,,47.7,-122.3,5630529.2916253945,-9575915.87838249,30
1391,,,40.9,-81.6,4889746.944553853,-6872248.528825158,22
1392,,,32.9,-96.8,3981375.261976042,-8705352.53595065,30
1393,,,33.4,-79.1,4039160.7572465204,-7088359.772331365,10
1394,,,45.5,-122.6,5394399.796378014,-9847812.821021732,30
1395,,,41.6,-93.7,4967443.824256047,-7838520.303287107,30
1396,,,39.9,-80.7,4778218.522360791,-6859933.136929465,11
1397,,,37.4,-79.2,4496762.482863402,-6880924.232276602,21
1398,,,36.1,-80.3,4348986.041640936,-7050677.572537549,21
1399,,,39,-80.5,4677320.035485608,-6898477.244858813,11
1400,,,42.5,-90.7,5066877.25924736,-7520481.690736675,30
1401,,,36.1,-79.1,4348986.041640936,-6945312.527867,22
1402,,,38.4,-75.2,4609785.726655623,-6478176.984047805,11
